C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
60011,"Customer#000060011","Y GqUG1QEdWr8 zkApzAXLkjOe,XMnJvV6,",8,18-421-991-6811,3422.48,BUILDING,"se carefully even deposits. carefully pending requests cajole furiously p"
60012,"Customer#000060012",q2JnIlgSVKxmu4be,23,33-106-408-1520,671.60,FURNITURE,"ly. furiously regular deposits haggle about the carefully thin packages. carefull"
60013,"Customer#000060013",i3t71FC4ucTs8fIEfmPwJky,0,10-394-817-3861,-485.69,MACHINERY,"ecial foxes are blithely fluffily even pinto beans. ironic accounts boost. blithely regular packages h"
60014,"Customer#000060014","4PiiMY zaWY1W4hVpXEzdkRQrskLaq",16,26-322-873-9166,7932.15,FURNITURE,"ic ideas along the bold packages u"
60015,"Customer#000060015",B8yKNFkXHwpxjlVkt,9,19-719-262-9343,4622.39,FURNITURE,"unts. blithely special excuses haggle slyly express theodolites. quietly unusual packages sleep sly"
60016,"Customer#000060016","i5JCEL8FRYSLvOs1Lkqn30a,1jherLDP",2,12-259-973-3236,4480.97,HOUSEHOLD,"ongside of the final, pending dolphins? final theodolites ha"
60017,"Customer#000060017","kBV62efx6B6Iw2VsRxqEr1sKQ",1,11-139-952-4191,3653.17,AUTOMOBILE,"inal packages. ironic dinos cajole against the care"
60018,"Customer#000060018",lQ8PB9FGW53C36XQX2uq0,0,10-310-354-8579,5759.83,BUILDING,"ckly bold deposits. carefully bold accounts integrat"
60019,"Customer#000060019","kSI6njhnR ApXo031vtmCAaXo",1,11-624-666-9689,3444.77,MACHINERY,"ncies. blithely silent gifts above the carefully "
60020,"Customer#000060020",JlAdCcLE8wEqFc0,15,25-432-919-9170,1187.30,FURNITURE,"equests use slyly after the ironic accounts. regular deposits haggle. ironically unusual theod"
